As_of;Ano_projetado;IPCA_%;PIB_%;Selic_%;Câmbio_R$/US$;Fonte;;;;
2020;2021;0,0334;0,0349;0,03;5,00;Fonte: BCB Focus Dez/2020;;;;
2020;2022;0,035;0,025;0,045;5,00;Fonte: BCB Focus Dez/2020;;;;
2020;2023;0,0325;0,025;0,05;5,00;Fonte: BCB Focus Dez/2020;;;;
2021;2022;0,0503;0,005;0,115;5,60;Fonte: BCB Focus Dez/2021;;;;
2021;2023;0,0343;0,019;0,08;5,50;Fonte: BCB Focus Dez/2021;;;;
2021;2024;0,0309;0,02;0,07;5,30;Fonte: BCB Focus Dez/2021;;;;
2022;2023;0,0531;0,03;0,1225;5,28;Fonte: BCB Focus Dez/2022;;;;
2022;2024;0,0365;0,015;0,0925;5,20;Fonte: BCB Focus Dez/2022;;;;
2022;2025;0,03;0,02;0,075;5,10;Fonte: BCB Focus Dez/2022;;;;
2023;2024;0,039;0,0152;0,09;5,03;Fonte: BCB Focus Dez/2023;;;;
2023;2025;0,035;0,02;0,085;5,10;Fonte: BCB Focus Dez/2023;;;;
2023;2026;0,035;0,02;0,085;5,10;Fonte: BCB Focus Dez/2023;;;;
2024;2025;0,0496;0,0201;0,12;5,96;Fonte: BCB Focus Dez/2024;;;;
2024;2026;0,0401;0,018;0,1;5,90;Fonte: BCB Focus Dez/2024;;;;
2024;2027;0,0383;0,02;0,1;5,80;Fonte: BCB Focus Dez/2024;;;;
